code,full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
102,CONNECTCOUNTY HOLDINGS BERHAD,"CONNECT (0102) [s]
CONNECTCOUNTY HOLDINGS BERHAD Summary",Industrial Products & Services - Ace Market,0.100 - 0.190,-32.11,-3,-2.89,0,0.00%,1.11,30.25,0,32.9M,Neutral 41.5,Oversold 0.0
5113,RIMBUNAN SAWIT BERHAD,"RSAWIT (5113) [s]
RIMBUNAN SAWIT BERHAD Summary",Plantation - Main Market,0.140 - 0.330,-33.8,-2,-10.14,0,0.00%,0.63,23.68,1,269.5M,Neutral 45.5,Neutral 40.0
188,HLT GLOBAL BERHAD,"HLT (0188) [s]
HLT GLOBAL BERHAD Summary",Industrial Products & Services - Ace Market,0.115 - 0.280,-35.64,-3,-4.99,0,0.00%,1,25.31,1,71.7M,Neutral 51.2,Overbought 83.3
9776,SINMAH CAPITAL BERHAD,"SMCAP (9776) [s]
SINMAH CAPITAL BERHAD Summary",Consumer Products & Services - Main Market,0.105 - 0.590,-38.24,-1,-18.07,0,0.00%,0.39,85.14,0,39.6M,Neutral 47.0,Oversold 14.3
8338,DATAPREP HOLDINGS BHD,"DATAPRP (8338) [s]
DATAPREP HOLDINGS BHD Summary",Technology - Main Market,0.180 - 0.295,-39,-11,-1.95,0,0.00%,4.3,8.97,2,90.6M,Neutral 44.7,Oversold 14.3
4995,VERSATILE CREATIVE BERHAD,"VERSATL (4995) [s]
VERSATILE CREATIVE BERHAD Summary",Industrial Products & Services - Main Market,0.315 - 0.750,-40.42,-3,-13.34,0,0.00%,1.06,43.31,1,45.2M,Neutral 46.3,Neutral 41.2
5155,XINGQUAN INTERNATIONAL SPORTS HOLDINGS LIMITED,"XINQUAN (5155)
XINGQUAN INTERNATIONAL SPORTS HOLDINGS LIMITED Summary",Consumer Products & Services - Main Market,0.055 - 0.055,-41.83,0,-79.48,0,0.00%,0.03,56.29,0,26.7M,Overbought 100.0,Neutral 50.0
7251,BARAKAH OFFSHORE PETROLEUM BERHAD,"BARAKAH (7251) [s]
BARAKAH OFFSHORE PETROLEUM BERHAD Summary",Energy - Main Market,0.040 - 0.265,-44.88,-1,-7.37,0,0.00%,0.58,29.1,0,79.4M,Neutral 44.5,Neutral 40.0
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,"BHIC (8133) [s]
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD Summary",Transportation & Logistics - Main Market,1.180 - 1.870,-46.38,-3,-43.6,1.5,1.12%,1.43,68.07,2,332.9M,Neutral 60.5,Neutral 72.7
7191,ADVENTA BERHAD,"ADVENTA (7191) [s]
ADVENTA BERHAD Summary",Health Care - Main Market,0.350 - 0.605,-48.25,-2,-17.37,0,0.00%,0.97,30.2,1,53.5M,Neutral 44.7,Oversold 0.0
5614,INTEGRATED LOGISTICS BHD,"ILB (5614)
INTEGRATED LOGISTICS BHD Summary",Transportation & Logistics - Main Market,0.385 - 0.790,-49.8,-1,-50.4,0,0.00%,0.38,12.58,3,75.1M,Neutral 34.9,Oversold 0.0
7164,KNM GROUP BERHAD,"KNM (7164) [s]
KNM GROUP BERHAD Summary",Energy - Main Market,0.070 - 0.225,-51.09,-1,-32.7,0,0.00%,0.26,60.54,0,391.0M,Neutral 65.1,Neutral 69.2
3021,,ETH (03021),Consumer Products & Services - Leap Market,0.155 - 0.185,0,0,0,0,0.00%,17.5,0,,1.0M,Neutral 66.5,Overbought 100.0
107,EDUSPEC HOLDINGS BERHAD,"EDUSPEC (0107) [s]
EDUSPEC HOLDINGS BERHAD Summary",Technology - Ace Market,0.015 - 0.180,-58.75,-1,-4.23,0,0.00%,0.35,3.57,1,27.5M,Neutral 43.0,Oversold 0.0
22,PARLO BERHAD,"PARLO (0022)
PARLO BERHAD Summary",Consumer Products & Services - Ace Market,0.070 - 0.145,-66.46,-2,-3.29,0,0.00%,1.41,44.43,0,25.5M,Neutral 36.3,Oversold 0.0
8346,PERAK CORPORATION BERHAD,"PRKCORP (8346) [s]
PERAK CORPORATION BERHAD Summary",Transportation & Logistics - Main Market,0.295 - 0.970,-70.15,0,-95.88,0,0.00%,0.31,198.1,0,43.0M,Neutral 53.2,Neutral 45.5
9008,OMESTI BERHAD,"OMESTI (9008) [s]
OMESTI BERHAD Summary",Technology - Main Market,0.335 - 0.490,-76.68,-2,-25.84,0,0.00%,1.2,56.06,1,193.4M,Neutral 60.6,Overbought 83.3
94,INIX TECHNOLOGIES HOLDINGS BERHAD,"INIX (0094) [s]
INIX TECHNOLOGIES HOLDINGS BERHAD Summary",Technology - Ace Market,0.045 - 0.120,-87.75,-1,-7.45,0,0.00%,0.94,3.37,2,20.7M,Neutral 57.9,Neutral 60.0
7158,SCOMI GROUP BERHAD,"SCOMI (7158) [s]
SCOMI GROUP BERHAD Summary",Energy - Main Market,0.040 - 0.145,-88.92,0,-21.34,0,0.00%,0.4,50.64,0,103.9M,Neutral 63.4,Neutral 50.0
3441,JOHAN HOLDINGS BERHAD,"JOHAN (3441)
JOHAN HOLDINGS BERHAD Summary",Financial Services - Main Market,0.070 - 0.250,-99.8,-1,-15.26,0,0.00%,0.65,17,1,62.3M,Neutral 60.1,Neutral 50.0
41,MSCM HOLDINGS BERHAD,"MYSCM (0041) [s]
MSCM HOLDINGS BERHAD Summary",Technology - Main Market,0.190 - 0.280,-117.59,-2,-9.76,0,0.00%,2.89,5.84,4,63.7M,Neutral 50.3,Neutral 40.0
