,code,date,news,extract_code,extracted_date
17475,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 13:01pm - 2 weeks ago",KLCI dips 0.25% as regional sentiment turns cautious,0010,2019-02-28
17473,https://www.klsescreener.com/v2/news/stock/0010,"TheStar05 Mar, 2019 16:17pm - 1 week ago","China to slash taxes, boost lending to prop up slowing economy",0010,2019-03-05
17472,https://www.klsescreener.com/v2/news/stock/0010,"TheStar12 Mar, 2019 00:00am - 6 days ago","Proton expects sales of Persona, Iriz to increase 30%",0010,2019-03-12
17471,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge15 Mar, 2019 10:16am - 3 days ago","KLCI reverses loss, edges higher in line with region",0010,2019-03-15
17470,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge15 Mar, 2019 10:52am - 3 days ago",追踪区域股市走势 马股止跌回扬,0010,2019-03-15
17474,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 13:21pm - 2 weeks ago",区域情绪转为谨慎 马股跌0.25%,0010,2019-02-28
2672,https://www.klsescreener.com/v2/news/stock/0011,"TheEdge18 Mar, 2019 13:18pm - 26 minutes ago","Crest Builder, L&G, Brite-Tech, Carimin, Destini, Federal International, LB Aluminium, Marine & General, Master-Pack, Mieco, Minho, MSCM, Orion IXL, Public Packages",0011,2019-03-18
2062,https://www.klsescreener.com/v2/news/stock/0012,"TheEdge20 Mar, 2019 10:37am - 3 weeks ago",Stock With Momentum: Three-A Resources,0012,2019-03-20
2063,https://www.klsescreener.com/v2/news/stock/0012,"Nanyang19 Mar, 2019 23:55pm - 3 weeks ago",热门股:3A资源上挑RM1.04,0012,2019-03-19
2064,https://www.klsescreener.com/v2/news/stock/0012,"TheEdge19 Mar, 2019 13:22pm - 3 weeks ago","Crest Builder, Eden, Three-A, Damansara Realty, Kian Joo, Komark, Magni-Tech, MTD, MSCM, QES, Thriven",0012,2019-03-19
2065,https://www.klsescreener.com/v2/news/stock/0012,"Orientaldaily14 Mar, 2019 19:43pm - 3 weeks ago",今年資本市場平穩　集資額預計1200億,0012,2019-03-14
2066,https://www.klsescreener.com/v2/news/stock/0012,"Sinchew14 Mar, 2019 17:48pm - 3 weeks ago",证监会：IPO改善·股市升90亿·资金市场料增长1200亿,0012,2019-03-14
